Reference period,Government
1981,Liberals
1982,Liberals
1983,Liberals
1984,Progressive Conservatives
1985,Progressive Conservatives
1986,Progressive Conservatives
1987,Progressive Conservatives
1988,Progressive Conservatives
1989,Progressive Conservatives
1990,Progressive Conservatives
1991,Progressive Conservatives
1992,Progressive Conservatives
1993,Progressive Conservatives
1994,Liberals
1995,Liberals
1996,Liberals
1997,Liberals
1998,Liberals
1999,Liberals
2000,Liberals
2001,Liberals
2002,Liberals
2003,Liberals
2004,Liberals
2005,Liberals
2006,Liberals
2007,Conservative
2008,Conservative
2009,Conservative
2010,Conservative
2011,Conservative
2012,Conservative
2013,Conservative
2014,Conservative
2015,Conservative
2016,Liberals
2017,Liberals
2018,Liberals
2019,Liberals
